,,,,,,,,,,,,,English
,"Dec 09, 2025 10:37 PM",MartinoWest Business & Insurance Solutions,36cc2179-a741-4351-9bbd-6a02b98d24b8,https://app.policylift.ai/calls/36cc2179-a741-4351-9bbd-6a02b98d24b8,filtered,unknown,unknown,unknown,Customer inquiry call to MartinoWest Insurance,0:00:01,1,assistant: Hi there. This is Kelly from MartinoWest Business & Insurance Solutions. How can I help you today?,
,"Dec 09, 2025 10:38 PM",MartinoWest Business & Insurance Solutions,52b75f90-d49d-44ec-b017-6aad1eebaabf,https://app.policylift.ai/calls/52b75f90-d49d-44ec-b017-6aad1eebaabf,filtered,unknown,unknown,unknown,Initial customer contact with MartinoWest Insurance,0:00:00,1,assistant: Hi there. This is Kelly from MartinoWest Business & Insurance Solutions. How can I help you today?,
,"Mar 04, 2026 11:02 AM",Garage Sentinel,8816ef4c-629c-4aff-a711-e2817eba6899,https://app.policylift.ai/calls/8816ef4c-629c-4aff-a711-e2817eba6899,spam,unknown,unknown,unknown,Customer confirmed business hours with Kelly,0:00:07,2,"assistant: Hi - Thanks for calling Garage Sentinel,this is Kelly on a recorded line. How can I help?

user: Three four six. Monday through Friday, 8AM to 9PM, and Saturday through Sunday, 8AM to 5PM eastern time. Thank you.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M17)"
,"Dec 10, 2025 2:05 PM",LSM Agency,cd88ed16-e117-4719-85d7-3c0d635f7210,https://app.policylift.ai/calls/cd88ed16-e117-4719-85d7-3c0d635f7210,filtered,unknown,unknown,unknown,Customer contacts LSM Agency for assistance,0:00:12,1,assistant: Hi there. This is Kelly from LSM Agency. How can I help you today?,
,"Feb 24, 2026 9:35 AM",Ley Insurance Agency,5c3a7a30-81fa-4d53-8aaf-680f90b265fd,https://app.policylift.ai/calls/5c3a7a30-81fa-4d53-8aaf-680f90b265fd,completed,unknown,unknown,unknown,Customer requests to end insurance quote call,0:00:07,3,"assistant: Hi - Thanks for calling Ley Insurance Agency,this is Kelly on a recorded line. How can I help?

user: End quote.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M19)"
,"Dec 26, 2025 10:14 AM",Dale Wagner Insurance,fd09f75f-c48f-417c-b782-3b49ab010b75,https://app.policylift.ai/calls/fd09f75f-c48f-417c-b782-3b49ab010b75,completed,unknown,service,unknown,Customer wanted to pay insurance bill,0:00:07,3,"assistant: Hi there. This is Kelly from Dale Wagner Insurance. How can I help you today?
user: Wanna pay my bill.
assistant: I am not able to process payments",English
,"Mar 04, 2026 3:09 PM",Dale Wagner Insurance,794d6ac2-8ce4-4c9d-b52c-0891b5dac207,https://app.policylift.ai/calls/794d6ac2-8ce4-4c9d-b52c-0891b5dac207,completed,unknown,unknown,unknown,Caller greeted Kelly at Dale Wagner Insurance,0:00:08,4,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Hello.
assistant: Hi there. What can I help you with
user: Hello?",English
,"Jan 13, 2026 5:58 PM",Guardians of the State Insurance,a88b0331-c77c-4fed-b436-4f8bf968e0c5,https://app.policylift.ai/calls/a88b0331-c77c-4fed-b436-4f8bf968e0c5,completed,unknown,unknown,unknown,Customer requests representative during after-hours call,0:00:09,3,"assistant: Hi - Thanks for calling Guardians of the State Insurance,this is Judah on a recorded line. How can I help?

user: Representative.
assistant: Yeah. We’re actually closed right now, but I can help answer",English
,"Feb 07, 2026 1:27 PM",East Texas Affordable Insurance,8bb7c741-d51b-4cce-bbb6-faf1c8bb0447,https://app.policylift.ai/calls/8bb7c741-d51b-4cce-bbb6-faf1c8bb0447,completed,unknown,quote,unknown,Customer inquired about insurance options.,0:00:09,3,"assistant: Hi - Thanks for calling East Texas Affordable Insurance,this is David on a recorded line. How can I help?

user: Hi. Insurance.
assistant: Okay, sure. What kind of insurance are you looking for? Car, home, renters, something","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M23)"
,"Dec 11, 2025 3:25 PM",Guardians of the State Insurance,c482461d-ecb0-476f-bd49-2a0b7c4b84eb,https://app.policylift.ai/calls/c482461d-ecb0-476f-bd49-2a0b7c4b84eb,filtered,unknown,unknown,unknown,Customer inquiry about insurance services.,0:00:00,1,assistant: Hi there. This is Judah from Guardians of the State Insurance. How can I help you today?,
,"Dec 11, 2025 3:32 PM",Guardians of the State Insurance,34d5a57d-18d9-4d48-961d-b1d632ee7487,https://app.policylift.ai/calls/34d5a57d-18d9-4d48-961d-b1d632ee7487,filtered,unknown,unknown,unknown,Customer called Guardians of the State Insurance.,0:00:00,1,assistant: Hi there. This is Judah from Guardians of the State Insurance. How can I help you today?,
,"Mar 04, 2026 11:52 AM",FOCO Insurance Services,a648a70f-e7a0-40c0-b84e-af6c8df1d99d,https://app.policylift.ai/calls/a648a70f-e7a0-40c0-b84e-af6c8df1d99d,completed,unknown,unknown,unknown,Caller switches to Spanish for insurance assistance,0:00:09,5,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".
user: Yep.
assistant: Okay, cool.
user: Español.
assistant: Hola, gracias por llamar a FOCO Insurance Services.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M26)"
,"Dec 11, 2025 3:45 PM",Guardians of the State Insurance,ae2f2470-a18a-4326-9ed6-1ac3cee59055,https://app.policylift.ai/calls/ae2f2470-a18a-4326-9ed6-1ac3cee59055,filtered,unknown,unknown,unknown,Customer called Guardians of the State Insurance.,0:00:01,1,assistant: Hi there. This is Judah from Guardians of the State Insurance. How can I help you today?,
,"Dec 11, 2025 4:00 PM",Charles Katz Insurance,66151b31-7fbd-4a80-9adb-a632e163623f,https://app.policylift.ai/calls/66151b31-7fbd-4a80-9adb-a632e163623f,filtered,unknown,unknown,unknown,Call initiated by Kelly from Charles Katz Insurance,0:00:03,1,assistant: Hi there. This is Kelly from Charles Katz Insurance. How can I help you today?,
,"Mar 04, 2026 12:01 PM",Garage Sentinel,1ddd6319-fa30-4d62-ac1f-b480e265c415,https://app.policylift.ai/calls/1ddd6319-fa30-4d62-ac1f-b480e265c415,spam,unknown,unknown,unknown,Caller requests to speak with Mike,0:00:09,3,"assistant: Hi - Thanks for calling Garage Sentinel,this is Kelly on a recorded line. How can I help?

user: I'd to speak with Mike.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M29)"
,"Feb 26, 2026 2:21 PM",Princeton Insurance,d76b71f0-feba-4aad-95b1-33a61fa51c47,https://app.policylift.ai/calls/d76b71f0-feba-4aad-95b1-33a61fa51c47,completed,unknown,unknown,unknown,Caller requests to speak with Andy directly.,0:00:09,3,"assistant: Hi - Thanks for calling Princeton Insurance,this is Kelly on a recorded line. How can I help?

user: Need to talk with Andy.
assistant: Let me connect you with one of our agents who can help you further. Please hold for a moment.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M30)"
,"Feb 18, 2026 12:44 PM",Dale Wagner Insurance,477868c4-5f5f-41e0-91b0-9f86e246c93f,https://app.policylift.ai/calls/477868c4-5f5f-41e0-91b0-9f86e246c93f,completed,unknown,unknown,unknown,"Caller asks for Carrie, reaches Kelly instead.",0:00:09,5,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Yes. Is this Carrie?
assistant: Oh, actually,
user: Hello?
assistant: Yeah, sorry.",English
,"Feb 01, 2026 3:42 PM",FOCO Insurance Services,08a80103-e761-44d5-b0f0-688aea332b0d,https://app.policylift.ai/calls/08a80103-e761-44d5-b0f0-688aea332b0d,completed,unknown,unknown,unknown,Customer requests Spanish language for insurance call,0:00:09,3,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a FOCO Insurance Services. Ahora","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M32)"
,"Feb 21, 2026 4:31 PM",East Texas Affordable Insurance,bb003696-b422-429c-b465-db215f37e927,https://app.policylift.ai/calls/bb003696-b422-429c-b465-db215f37e927,completed,unknown,unknown,unknown,"Caller reached out after office hours, requested assistance.",0:00:10,3,"assistant: Hi - Thanks for calling East Texas Affordable Insurance,this is David on a recorded line. How can I help?

user: To talk to someone.
assistant: Oh, okay. The office is actually closed right now since it's Saturday after","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M33)"
,"Jan 04, 2026 9:38 PM",FOCO Insurance Services,fe1d4879-3161-4de8-99fb-a854ea877644,https://app.policylift.ai/calls/fe1d4879-3161-4de8-99fb-a854ea877644,completed,unknown,unknown,unknown,Customer initially confused by call greeting,0:00:10,7,"assistant: Hi - Thanks for calling FOCO Insurance Services,this is Kelly on a recorded line. How can I help?

user: Oh, it's
assistant: Yeah, go ahead. What
user: machine.
assistant: Yeah, I get that a lot. I'm actually here to help with insurance questions or start a quote if you need one.
user: Hello?
assistant: Yeah, I’m here. How can I help",English
,"Feb 24, 2026 7:28 PM",Seguros Ideal,838621d4-704d-4f9c-90c3-53ccaca1dd49,https://app.policylift.ai/calls/838621d4-704d-4f9c-90c3-53ccaca1dd49,completed,unknown,unknown,unknown,Customer requested Spanish service after hours,0:00:10,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: ¡Hola! Gracias por llamar a Seguros Ideal. Ahora estamos cerrados, pero","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M35)"
,"Mar 01, 2026 12:12 PM",Guardians of the State Insurance,8e5621bd-a81a-4f92-8181-9d55e6340a07,https://app.policylift.ai/calls/8e5621bd-a81a-4f92-8181-9d55e6340a07,completed,unknown,unknown,unknown,"Customer requested representative, office closed on Sunday",0:00:10,3,"assistant: Hi - Thanks for calling Guardians of the State Insurance,this is Judah on a recorded line. How can I help?

user: Representative.
assistant: Yeah, looks like the office is actually closed right now, since it’s Sunday. Do you need help",English
,"Dec 12, 2025 9:01 PM",Cal-West Insurance Services Inc.,2012f1ba-e190-488c-a55e-be4082489b47,https://app.policylift.ai/calls/2012f1ba-e190-488c-a55e-be4082489b47,filtered,unknown,unknown,unknown,Customer called Cal-West Insurance for assistance,0:00:00,1,assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?,
,"Dec 12, 2025 9:01 PM",Cal-West Insurance Services Inc.,310dcfac-b17b-49e1-b4f8-f8fe1eced33d,https://app.policylift.ai/calls/310dcfac-b17b-49e1-b4f8-f8fe1eced33d,filtered,unknown,unknown,unknown,Customer contacted Cal-West Insurance for assistance,0:00:02,1,assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?,
,"Dec 12, 2025 9:03 PM",Cal-West Insurance Services Inc.,46eb1162-7482-41ea-a9ef-356f4c77c68b,https://app.policylift.ai/calls/46eb1162-7482-41ea-a9ef-356f4c77c68b,filtered,unknown,unknown,unknown,Initial customer contact—no information exchanged.,0:00:03,1,assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?,
,"Dec 09, 2025 9:40 AM",Lichters Insurance,ea58d1eb-a3ce-45ad-bde4-e3bf533938cf,https://app.policylift.ai/calls/ea58d1eb-a3ce-45ad-bde4-e3bf533938cf,hidden,unknown,unknown,unknown,Customer confirmed agency name: Lichters Insurance,0:00:10,3,"assistant: Hi there. This is Kelly from Lichters Insurance. How can I help you today?
user: Hey, Kelly. What's the name of your agency?
assistant: The name of our agency is Lichters Insurance. How can I assist you further today?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M40)"
,"Jan 26, 2026 8:28 PM",Seguros Ideal,b0ebf678-8830-4520-970a-3c92429d0022,https://app.policylift.ai/calls/b0ebf678-8830-4520-970a-3c92429d0022,completed,unknown,unknown,unknown,Customer requested Spanish-language assistance for insurance call.,0:00:10,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: ¿Español?
assistant: Hola, gracias por llamar a Seguros Ideal. Ahora estamos","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M41)"
,"Dec 10, 2025 1:11 PM",LSM Agency,2cbd5f76-8509-4a16-8263-a74021003513,https://app.policylift.ai/calls/2cbd5f76-8509-4a16-8263-a74021003513,completed,unknown,unknown,unknown,Customer requested no further calls from agency,0:00:10,3,"assistant: Hi there. This is Kelly from LSM Agency. How can I help you today?
user: Stop calling me.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M42)"
,"Jan 28, 2026 1:05 PM",Dale Wagner Insurance,bffe88fe-f46d-4777-86db-e6ccfad17347,https://app.policylift.ai/calls/bffe88fe-f46d-4777-86db-e6ccfad17347,completed,unknown,unknown,unknown,Caller asked for representative; office was closed.,0:00:10,3,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: representative
assistant: Oh, okay. All our agents are actually out of the office right now since we're closed.",english
,"Mar 04, 2026 5:34 PM",The Gordon Agency,b37759a8-4a56-443b-bca5-ae10b781b8d1,https://app.policylift.ai/calls/b37759a8-4a56-443b-bca5-ae10b781b8d1,completed,unknown,unknown,unknown,Caller requested to speak with Michael Gordon,0:00:10,3,"assistant: Hi - Thanks for calling The Gordon Agency,this is Kelly on a recorded line. How can I help?

user: Hi, Kelly. Can I speak to Michael Gordon?
assistant: Yeah. The office is actually closed right now, so Michael isn't available.  Is this about a new","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M44)"
,"Feb 22, 2026 1:15 PM",FOCO Insurance Services,09be9168-bd7d-46ed-a5ac-b8762bcb4d4b,https://app.policylift.ai/calls/09be9168-bd7d-46ed-a5ac-b8762bcb4d4b,completed,unknown,unknown,unknown,Customer requested service in Spanish after business hours.,0:00:10,3,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a FOCO Insurance Services. Hoy estamos cerrados, pero puedo ayudarte","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M45)"
,"Dec 16, 2025 1:31 AM",FOCO Insurance Services,f324f753-ac1d-44df-a456-7b75d6748320,https://app.policylift.ai/calls/f324f753-ac1d-44df-a456-7b75d6748320,filtered,unknown,unknown,unknown,Initial greeting from FOCO Insurance Services representative,0:00:01,1,assistant: Hi there. This is Kelly from FOCO Insurance Services. How can I help you today?,
,"Dec 16, 2025 11:37 AM",FOCO Insurance Services,4b8c3b8e-9aa9-41a0-a8c0-cf0f262e5f6e,https://app.policylift.ai/calls/4b8c3b8e-9aa9-41a0-a8c0-cf0f262e5f6e,filtered,unknown,unknown,unknown,Customer inquiry with FOCO Insurance Services support,0:00:06,1,assistant: Hi there. This is Kelly from FOCO Insurance Services. How can I help you today?,
,"Feb 20, 2026 10:35 AM",Princeton Insurance,d5239cb5-723c-4ff8-89f3-2818a2941994,https://app.policylift.ai/calls/d5239cb5-723c-4ff8-89f3-2818a2941994,completed,unknown,unknown,unknown,Customer called Princeton Insurance for assistance,0:00:10,3,"assistant: Hi - Thanks for calling Princeton Insurance,this is Kelly on a recorded line. How can I help?

user: Hello?
assistant: Yeah, I'm here. What can I help you with today?","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M48)"
,"Mar 04, 2026 1:15 PM",Princeton Insurance,40540349-fe4b-4431-a7ec-b980f0c141c3,https://app.policylift.ai/calls/40540349-fe4b-4431-a7ec-b980f0c141c3,spam,unknown,unknown,unknown,Mother requests callback from son Andrew.,0:00:10,3,"assistant: Hi - Thanks for calling Princeton Insurance,this is Kelly on a recorded line. How can I help?

user: Let my son Andrew to call me. I'm his mother, please. Thank you. Bye bye.
assistant: Thanks for calling us, we appreciate your time. Have a great day! Goodbye.","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M49)"
,"Feb 21, 2026 10:09 AM",FOCO Insurance Services,6b133d56-b841-4588-b7d3-8f480d897463,https://app.policylift.ai/calls/6b133d56-b841-4588-b7d3-8f480d897463,completed,unknown,unknown,unknown,"Customer requested service in Spanish, office closed",0:00:11,3,"assistant: Hi this is Kelly with FOCO Insurance on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola. FOCO Insurance Services está cerrado en este momento, pero puedo ayudarte con información",spanish
,"Jan 24, 2026 5:48 PM",Seguros Ideal,75d7450c-559e-4e42-b49d-7bf882b10ec7,https://app.policylift.ai/calls/75d7450c-559e-4e42-b49d-7bf882b10ec7,completed,unknown,unknown,unknown,Customer requested Spanish; call ended as office closed.,0:00:11,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a Seguros Ideal. Ahora estamos cerrados,",spanish
,"Feb 04, 2026 1:22 PM",Dale Wagner Insurance,c16e1c6b-264e-43db-937a-b025342b54d9,https://app.policylift.ai/calls/c16e1c6b-264e-43db-937a-b025342b54d9,completed,unknown,unknown,unknown,Customer requested Spanish-speaking assistance.,0:00:11,3,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: ¿Español, por favor?
assistant: Hola, has llamado a Dale Wagner Insurance en","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M52)"
,"Dec 16, 2025 11:25 PM",FOCO Insurance Services,6e1ad204-b8e7-40b7-82bb-a1d8c74a7ffe,https://app.policylift.ai/calls/6e1ad204-b8e7-40b7-82bb-a1d8c74a7ffe,filtered,unknown,unknown,unknown,Customer inquiry handled by Kelly at FOCO Insurance,0:00:00,1,assistant: Hi there. This is Kelly from FOCO Insurance Services. How can I help you today?,
,"Feb 14, 2026 3:21 PM",Seguros Ideal,e7a12d4e-1540-4908-827e-a727aa3108ad,https://app.policylift.ai/calls/e7a12d4e-1540-4908-827e-a727aa3108ad,spam,unknown,unknown,unknown,Customer asked if cleaning was finished,0:00:11,4,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a Seguros Ideal. La oficina está cerrada en este momento,
user: Ya limpiaste",spanish
,"Feb 07, 2026 4:23 PM",East Texas Affordable Insurance,e0d9ad90-5e37-4e13-9491-6b87cc9b7450,https://app.policylift.ai/calls/e0d9ad90-5e37-4e13-9491-6b87cc9b7450,completed,unknown,claim,fnol,Customer wants to report an insurance claim,0:00:11,3,"assistant: Hi - Thanks for calling East Texas Affordable Insurance,this is David on a recorded line. How can I help?

user: wanna report a claim.
assistant: Oh, okay. We’re actually closed right now, but I can take a message for a licensed agent","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M55)"
,"Dec 17, 2025 11:19 AM",LSM Agency,709e3276-81e2-4aed-bfd8-beb311e78080,https://app.policylift.ai/calls/709e3276-81e2-4aed-bfd8-beb311e78080,filtered,unknown,unknown,unknown,"Customer inquiry to LSM Agency, no details given.",0:00:00,1,assistant: Hi there. This is Kelly from LSM Agency. How can I help you today?,
,"Feb 23, 2026 10:55 PM",Seguros Ideal,a8856cb4-4dc0-4529-ae99-fd73f63b552d,https://app.policylift.ai/calls/a8856cb4-4dc0-4529-ae99-fd73f63b552d,completed,unknown,unknown,unknown,Customer requested Spanish language support; office was closed.,0:00:11,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: Español.
assistant: Hola, gracias por llamar a Seguros Ideal. La oficina está cerrada hoy, pero puedo ayudarte con","=AI(""Please analyze the transcript in  and output a single enumerator, either english or spanish."" & M57)"
,"Feb 25, 2026 4:21 PM",Dale Wagner Insurance,cc7cb966-a091-4981-9b54-43f8f3e68dfa,https://app.policylift.ai/calls/cc7cb966-a091-4981-9b54-43f8f3e68dfa,completed,unknown,unknown,unknown,After-hours call; caller requested a live agent,0:00:11,3,"assistant: Hi - Thanks for calling Dale Wagner Insurance,this is Kelly on a recorded line. How can I help?

user: Live agent.
assistant: Oh, okay. Our office is actually closed right now, but I can take a message for a licensed",english
,"Feb 25, 2026 7:03 PM",Seguros Ideal,f6bf841f-ecbf-42ad-94ec-ac4930090519,https://app.policylift.ai/calls/f6bf841f-ecbf-42ad-94ec-ac4930090519,completed,unknown,unknown,unknown,Customer requested Spanish service after hours,0:00:11,3,"assistant: Hi this is Kelly with Seguros Ideal on a recorded line. Si desea continuar en español, diga ""Español"".
user: ¿Español?
assistant: Hola, gracias por llamar a Seguros Ideal. Ahora estamos cerrados, pero puedo",spanish
,"Dec 17, 2025 9:54 PM",LSM Agency,69e5a68d-4b1f-4cac-8193-98179110b701,https://app.policylift.ai/calls/69e5a68d-4b1f-4cac-8193-98179110b701,filtered,unknown,unknown,unknown,Initial customer inquiry to LSM Agency,0:00:00,1,assistant: Hi there. This is Kelly from LSM Agency. How can I help you today?,
,"Dec 17, 2025 9:56 PM",Guardians of the State Insurance,8acce21a-359a-4622-b4e2-1de2657f9b48,https://app.policylift.ai/calls/8acce21a-359a-4622-b4e2-1de2657f9b48,filtered,unknown,unknown,unknown,Customer inquiry with Guardians of the State Insurance,0:00:05,1,assistant: Hi there. This is Judah from Guardians of the State Insurance. How can I help you today?,
,"Dec 17, 2025 9:57 PM",Cal-West Insurance Services Inc.,f0329455-2d30-4ec9-8dc5-1f7b0086188e,https://app.policylift.ai/calls/f0329455-2d30-4ec9-8dc5-1f7b0086188e,filtered,unknown,unknown,unknown,Customer contacts Cal-West Insurance for assistance,0:00:04,1,assistant: Hi there. This is Kelly from Cal-West Insurance Services Inc.. How can I help you today?,
,"Dec 17, 2025 9:57 PM",All Texas Insurance Brokers,009648c2-c326-417d-aa77-446a575fd7a8,https://app.policylift.ai/calls/009648c2-c326-417d-aa77-446a575fd7a8,filtered,unknown,unknown,unknown,"Initial customer greeting, no request provided yet",0:00:04,1,assistant: Hi there. This is Kelly from All Texas Insurance Brokers. How can I help you today?,
